Collum;Column (Titles);Xpath
Collum A;ENV;/html/body/main/div/article/h1/text()
Collum B;ENV_Heading;/html/body/main/div/article/div[2]/h2/a/text()
Collum C;ENV_Heading_URL;/html/body/main/div/article/div[2]/h2/a/@href
Collum D;ENV_Subheading;/html/body/main/div/article/div[2]/h3/a/text()
Collum E;ENV_Subheading_URL;/html/body/main/div/article/div[2]/h3/a/@href
Collum F;ENV_Resume;/html/body/main/div/article/div[2]/ul/text()
Collum G;ENV_Key;/html/body/main/div/article/div[2]/div/table/thead/tr/th[1]/text()
Collum H;ENV_Type;/html/body/main/div/article/div[2]/div/table/thead/tr/th[2]/text()
Collum I;ENV_Description;/html/body/main/div/article/div[2]/div/table/thead/tr/th[3]/text()
Collum J;ENV_Example;/html/body/main/div/article/div[2]/div/table/thead/tr/th[4]/text()
